"","categoryER+","categoryHER2+","categoryTNBC"
"ME8",0.248269404171915,-0.366622749827446,0.250265604219803
"ME3",0.592778469835523,-0.437470172059837,0.228332314060437
"ME7",0.857994691518535,-0.589757045133798,-0.206889199007072
"ME18",-0.197118876321817,-0.0114838958538173,-0.0399465990433919
"ME6",-0.341894567176791,0.116042676647744,-0.337317217756163
"ME4",0.125963834863836,-0.583133878944423,0.00787810595282358
"ME10",0.0511248824835677,-0.475474370373992,0.0521606122219823
"ME11",-0.463188060753256,-0.313353557763244,0.775561331156196
"ME15",-0.0357321232945146,-0.703946033437392,0.517413162907127
"ME1",0.447344357718513,-0.852252032480634,0.473012160708049
"ME13",0.103261318610488,-0.219956623769157,0.159143991891438
"ME9",-0.454666531167771,0.530236329072255,-0.0106408376216365
"ME12",-0.402187808471859,0.498342506161537,-0.132402363478838
"ME19",-0.139128197163303,0.183234755239645,0.0885603204040937
"ME2",-0.390868618163162,0.806715861607147,-0.236152890699563
"ME14",-0.313987563027922,0.33573174522166,0.0212578178665534
"ME17",-0.157090465624062,-0.247120584811808,0.412799657825418
"ME5",-0.0572378553413203,0.0263361870791629,-0.0143925796728423
"ME16",0.0396566140714335,0.300414313384739,0.0122357528725307
"ME0",-0.0234081518685832,-0.0660641025024727,0.370324694995933
