"","Gene","Module"
"5401","LOC105374209","blue"
"5402","PRKCI","blue"
"5403","SKIL","green"
"5404","CLDN11","yellow"
"5405","SLC7A14","turquoise"
"5406","SLC7A14-AS1","turquoise"
"5407","RPL22L1","blue"
"5408","EIF5A2","brown"
"5409","SLC2A2","turquoise"
"5410","TNIK","blue"
"5411","LOC105374216","blue"
"5412","PLD1","red"
"5413","TMEM212","turquoise"
"5414","FNDC3B","turquoise"
"5415","107986153","blue"
"5416","GHSR","turquoise"
"5417","TNFSF10","blue"
"5418","NCEH1","turquoise"
"5419","ECT2","blue"
"5420","SPATA16","turquoise"
"5421","NLGN1","yellow"
"5422","NAALADL2","brown"
"5423","LOC107986027","blue"
"5424","TBL1XR1","green"
"5425","LINC00578","turquoise"
"5426","LOC105374235","turquoise"
"5427","KCNMB2","blue"
"5428","ZMAT3","yellow"
"5429","PIK3CA","brown"
"5430","KCNMB3","blue"
"5431","ZNF639","brown"
"5432","MFN1","blue"
"5433","GNB4","blue"
"5434","ACTL6A","grey"
"5435","MRPL47","blue"
"5436","NDUFB5","brown"
"5437","107986158","turquoise"
"5438","USP13","grey"
"5439","PEX5L","turquoise"
"5440","TTC14","blue"
"5441","CCDC39","blue"
"5442","LOC101928882","turquoise"
"5443","FXR1","yellow"
"5444","DNAJC19","grey"
"5445","SOX2","blue"
"5446","ATP11B","brown"
"5447","DCUN1D1","brown"
"5448","MCCC1","blue"
"5449","LAMP3","magenta"
"5450","MCF2L2","black"
"5451","B3GNT5","black"
"5452","LOC107986160","turquoise"
"5453","SNHG33","turquoise"
"5454","KLHL6","magenta"
"5455","LOC107986162","turquoise"
"5456","KLHL24","brown"
"5457","YEATS2","greenyellow"
"5458","YEATS2-AS1","grey"
"5459","MAP6D1","grey"
"5460","PARL","brown"
"5461","ABCC5","yellow"
"5462","HTR3D","turquoise"
"5463","HTR3C","turquoise"
"5464","EIF2B5-DT","turquoise"
"5465","HTR3E","turquoise"
"5466","EIF2B5","red"
"5467","DVL3","brown"
"5468","AP2M1","blue"
"5469","ABCF3","brown"
"5470","VWA5B2","turquoise"
"5471","ALG3","yellow"
"5472","EEF1AKMT4","blue"
"5473","EEF1AKMT4-ECE2","grey"
"5474","CAMK2N2","grey"
"5475","ECE2","turquoise"
"5476","PSMD2","green"
"5477","EIF4G1","green"
"5478","SNORD66","blue"
"5479","FAM131A","blue"
"5480","CLCN2","brown"
"5481","POLR2H","red"
"5482","THPO","turquoise"
"5483","CHRD","black"
"5484","LINC02054","turquoise"
"5485","EPHB3","grey"
"5486","MAGEF1","blue"
"5487","LOC107986163","turquoise"
"5488","VPS8","blue"
"5489","C3orf70","yellow"
"5490","EHHADH","yellow"
"5491","MAP3K13","blue"
"5492","LOC101929018","blue"
"5493","TMEM41A","blue"
"5494","LOC105374254","grey"
"5495","LIPH","grey"
"5496","SENP2","brown"
"5497","IGF2BP2","grey"
"5498","IGF2BP2-AS1","grey"
"5499","TRA2B","turquoise"
"5500","ETV5","red"
"5501","DGKG","yellow"
"5502","CRYGS","blue"
"5503","TBCCD1","blue"
"5504","DNAJB11","blue"
"5505","AHSG","turquoise"
"5506","FETUB","turquoise"
"5507","HRG-AS1","turquoise"
"5508","HRG","turquoise"
"5509","KNG1","turquoise"
"5510","EIF4A2","green"
"5511","SNORD2","turquoise"
"5512","SNORA63","blue"
"5513","SNORA4","blue"
"5514","RFC4","blue"
"5515","LINC02043","turquoise"
"5516","ADIPOQ","yellow"
"5517","ADIPOQ-AS1","yellow"
"5518","ST6GAL1","grey"
"5519","RPL39L","blue"
"5520","LOC101929106","turquoise"
"5521","RTP1","turquoise"
"5522","MASP1","yellow"
"5523","LOC105374260","turquoise"
"5524","RTP4","grey60"
"5525","SST","turquoise"
"5526","RTP2","turquoise"
"5527","LOC100131635","blue"
"5528","BCL6","turquoise"
"5529","LPP-AS2","blue"
"5530","LPP","green"
"5531","FLJ42393","brown"
"5532","MIR28","blue"
"5533","LOC107986167","blue"
"5534","TPRG1","black"
"5535","TPRG1-AS2","black"
"5536","TP63","yellow"
"5537","P3H2","yellow"
"5538","107986170","grey"
"5539","CLDN1","midnightblue"
"5540","CLDN16","turquoise"
"5541","TMEM207","turquoise"
"5542","IL1RAP","brown"
"5543","GMNC","turquoise"
"5544","OSTN","salmon"
"5545","UTS2B","brown"
"5546","CCDC50","red"
"5547","PYDC2","salmon"
"5548","FGF12","blue"
"5549","MB21D2","blue"
"5550","PLAAT1","grey"
"5551","ATP13A5","blue"
"5552","ATP13A5-AS1","blue"
"5553","ATP13A4","blue"
"5554","ATP13A4-AS1","grey"
"5555","OPA1","brown"
"5556","OPA1-AS1","blue"
"5557","LOC102724808","blue"
"5558","HES1","grey"
"5559","CPN2","turquoise"
"5560","LRRC15","purple"
"5561","GP5","turquoise"
"5562","ATP13A3","brown"
"5563","ATP13A3-DT","grey"
"5564","TMEM44-AS1","grey"
"5565","TMEM44","brown"
"5566","LOC105374291","turquoise"
"5567","LSG1","yellow"
"5568","FAM43A","yellow"
"5569","XXYLT1","turquoise"
"5570","ACAP2","brown"
"5571","PPP1R2","brown"
"5572","APOD","blue"
"5573","LOC105374298","blue"
"5574","LOC105374297","blue"
"5575","SDHAP2","blue"
"5576","MIR570HG","blue"
"5577","MIR570","blue"
"5578","MUC20","brown"
"5579","MUC4","turquoise"
"5580","105374299","turquoise"
"5581","TNK2","brown"
"5582","TNK2-AS1","brown"
"5583","727978","blue"
"5584","SDHAP1","blue"
"5585","105374301","blue"
"5586","TFRC","turquoise"
"5587","LINC00885","grey"
"5588","ZDHHC19","turquoise"
"5589","LOC105374304","turquoise"
"5590","SLC51A","turquoise"
"5591","PCYT1A","blue"
"5592","DYNLT2B","grey"
"5593","TM4SF19-DYNLT2B","turquoise"
"5594","LOC107986031","brown"
"5595","TM4SF19-AS1","turquoise"
"5596","TM4SF19","turquoise"
"5597","UBXN7","brown"
"5598","UBXN7-AS1","brown"
"5599","RNF168","blue"
"5600","SMCO1","turquoise"
"5601","WDR53","turquoise"
"5602","FBXO45","yellow"
"5603","NRROS","grey"
"5604","CEP19","turquoise"
"5605","PIGX","grey"
"5606","PAK2","green"
"5607","SENP5","turquoise"
"5608","NCBP2","blue"
"5609","NCBP2-AS1","grey"
"5610","NCBP2AS2","grey"
"5611","PIGZ","turquoise"
"5612","MELTF","turquoise"
"5613","MELTF-AS1","brown"
"5614","DLG1","turquoise"
"5615","LINC02012","turquoise"
"5616","BDH1","yellow"
"5617","SDHAP4","blue"
"5618","107986175","brown"
"5619","LOC112268458","yellow"
"5620","RUBCN","blue"
"5621","MIR922","turquoise"
"5622","FYTTD1","blue"
"5623","LRCH3","turquoise"
"5624","LOC105374310","blue"
"5625","IQCG","turquoise"
"5626","RPL35A","green"
"5627","LMLN","brown"
"5628","LMLN-AS1","brown"
"5629","ANKRD18DP","green"
"5630","107986177","turquoise"
"5631","FAM157A","brown"
"5632","LOC105379426","blue"
"5633","LOC101928669","blue"
"5634","101059949","blue"
"5635","107987361","blue"
"5636","ZNF595","blue"
"5637","ZNF718","blue"
"5638","ZNF876P","blue"
"5639","ZNF732","turquoise"
"5640","LOC105374336","turquoise"
"5641","ZNF141","blue"
"5642","MIR571","blue"
"5643","ABCA11P","blue"
"5644","ZNF721","blue"
"5645","PIGG","brown"
"5646","PDE6B","turquoise"
"5647","PDE6B-AS1","turquoise"
"5648","ATP5ME","yellow"
"5649","MYL5","brown"
"5650","SLC49A3","black"
"5651","PCGF3","brown"
"5652","LOC107986246","blue"
"5653","107986211","brown"
"5654","PCGF3-AS1","brown"
"5655","CPLX1","black"
"5656","LOC105374339","black"
"5657","LOC105374340","blue"
"5658","GAK","brown"
"5659","LOC105374341","blue"
"5660","TMEM175","brown"
"5661","DGKQ","brown"
"5662","SLC26A1","brown"
"5663","IDUA","brown"
"5664","FGFRL1","blue"
"5665","RNF212","turquoise"
"5666","SPON2","purple"
"5667","LOC100130872","grey"
"5668","101928548","brown"
"5669","CTBP1-AS","brown"
"5670","CTBP1","brown"
"5671","CTBP1-DT","blue"
"5672","MAEA","brown"
"5673","UVSSA","brown"
"5674","FAM53A","brown"
"5675","SLBP","blue"
"5676","TMEM129","blue"
"5677","TACC3","blue"
"5678","LOC112268460","blue"
"5679","FGFR3","pink"
"5680","LETM1","grey"
"5681","NSD2","yellow"
"5682","NELFA","brown"
"5683","MIR943","pink"
"5684","NICOL1","yellow"
"5685","NAT8L","yellow"
"5686","POLN","blue"
"5687","HAUS3","blue"
"5688","MXD4","brown"
"5689","MIR4800","blue"
"5690","ZFYVE28","brown"
"5691","LOC105374352","blue"
"5692","CFAP99","brown"
"5693","RNF4","grey"
"5694","FAM193A","blue"
"5695","TNIP2","blue"
"5696","SH3BP2","brown"
"5697","ADD1","blue"
"5698","MFSD10","brown"
"5699","NOP14-AS1","grey"
"5700","NOP14","grey"
"5701","GRK4","turquoise"
"5702","HTT","turquoise"
"5703","MSANTD1","pink"
"5704","RGS12","brown"
"5705","HGFAC","brown"
"5706","DOK7","brown"
"5707","LRPAP1","blue"
"5708","LINC00955","turquoise"
"5709","LINC02600","black"
"5710","ADRA2C","yellow"
"5711","FAM86EP","grey"
"5712","LOC101928217","turquoise"
"5713","OTOP1","turquoise"
"5714","TMEM128","brown"
"5715","LYAR","blue"
"5716","ZBTB49","blue"
"5717","NSG1","yellow"
"5718","STX18","turquoise"
"5719","LOC107986254","blue"
"5720","STX18-AS1","grey"
"5721","LINC03091","brown"
"5722","MSX1","yellow"
"5723","CYTL1","yellow"
"5724","STK32B","black"
"5725","LINC01587","blue"
"5726","EVC2","turquoise"
"5727","EVC","yellow"
"5728","CRMP1","turquoise"
"5729","C4orf50","turquoise"
"5730","JAKMIP1","grey"
"5731","WFS1","black"
"5732","107986257","greenyellow"
"5733","PPP2R2C","grey"
"5734","MAN2B2","blue"
"5735","MRFAP1","blue"
"5736","LINC02482","blue"
"5737","MRFAP1L2","grey"
"5738","LINC02481","blue"
"5739","S100P","yellow"
"5740","MRFAP1L1","blue"
"5741","BLOC1S4","grey"
"5742","KIAA0232","turquoise"
"5743","TBC1D14","grey"
"5744","LOC100129931","grey"
"5745","CFAP184","brown"
"5746","TADA2B","blue"
"5747","GRPEL1","grey"
"5748","SORCS2","turquoise"
"5749","PSAPL1","turquoise"
"5750","AFAP1-AS1","black"
"5751","AFAP1","turquoise"
"5752","LOC389199","grey"
"5753","ABLIM2","turquoise"
"5754","MIR95","turquoise"
"5755","SH3TC1","grey"
"5756","LOC105374373","purple"
"5757","HTRA3","purple"
"5758","112268463","yellow"
"5759","ACOX3","greenyellow"
"5760","TRMT44","brown"
"5761","GPR78","turquoise"
"5762","CPZ","yellow"
"5763","HMX1","blue"
"5764","LOC105369250","turquoise"
"5765","USP17L10","turquoise"
"5766","USP17L11","turquoise"
"5767","USP17L12","turquoise"
"5768","USP17L13","turquoise"
"5769","USP17L15","turquoise"
"5770","USP17L17","turquoise"
"5771","USP17L18","turquoise"
"5772","USP17L19","turquoise"
"5773","USP17L20","turquoise"
"5774","USP17L21","turquoise"
"5775","USP17L22","turquoise"
"5776","USP17L24","turquoise"
"5777","USP17L25","turquoise"
"5778","USP17L26","turquoise"
"5779","USP17L5","turquoise"
"5780","USP17L27","turquoise"
"5781","USP17L28","turquoise"
"5782","USP17L29","turquoise"
"5783","USP17L9P","turquoise"
"5784","USP17L30","turquoise"
"5785","USP17L6P","turquoise"
"5786","DEFB131A","green"
"5787","SLC2A9","yellow"
"5788","DRD5","turquoise"
"5789","SLC2A9-AS1","blue"
"5790","WDR1","green"
"5791","ZNF518B","brown"
"5792","CLNK","magenta"
"5793","HS3ST1","blue"
"5794","LOC105374493","blue"
"5795","105374494","blue"
"5796","RAB28","brown"
"5797","NKX3-2","turquoise"
"5798","LINC01096","turquoise"
"5799","BOD1L1","blue"
"5800","LINC00504","black"
"5801","CPEB2","black"
"5802","C1QTNF7","yellow"
"5803","CC2D2A","grey"
"5804","FBXL5","grey"
"5805","FAM200B","brown"
"5806","BST1","yellow"
"5807","CD38","magenta"
"5808","FGFBP1","midnightblue"
"5809","FGFBP2","midnightblue"
"5810","PROM1","black"
"5811","TAPT1","brown"
"5812","TAPT1-AS1","grey"
"5813","LDB2","yellow"
"5814","QDPR","blue"
"5815","CLRN2","turquoise"
"5816","LAP3","blue"
"5817","MED28","turquoise"
"5818","FAM184B","grey"
"5819","DCAF16","green"
"5820","NCAPG","blue"
"5821","LCORL","blue"
"5822","SLIT2","red"
"5823","MIR218-1","green"
"5824","PACRGL","blue"
"5825","KCNIP4","blue"
"5826","ADGRA3","black"
"5827","GBA3","green"
"5828","107986265","blue"
"5829","PPARGC1A","yellow"
"5830","MIR573","grey"
"5831","DHX15","turquoise"
"5832","SOD3","yellow"
"5833","CCDC149","turquoise"
"5834","LOC102723675","brown"
"5835","LGI2","brown"
"5836","SEPSECS","brown"
"5837","SEPSECS-AS1","blue"
"5838","LOC105374535","blue"
"5839","PI4K2B","brown"
"5840","ZCCHC4","brown"
"5841","ANAPC4","blue"
"5842","SLC34A2","turquoise"
"5843","SEL1L3","turquoise"
"5844","LOC105374538","grey"
"5845","SMIM20","brown"
"5846","RBPJ","turquoise"
"5847","CCKAR","turquoise"
"5848","TBC1D19","blue"
"5849","STIM2","red"
"5850","LOC107986268","turquoise"
"5851","PCDH7","purple"
"5852","ARAP2","blue"
"5853","LOC439933","turquoise"
"5854","DTHD1","magenta"
"5855","NWD2","turquoise"
"5856","C4orf19","red"
"5857","RELL1","blue"
"5858","PGM2","brown"
"5859","TBC1D1","grey"
"5860","105374407","blue"
"5861","PTTG2","blue"
"5862","102723415","turquoise"
"5863","KLF3-AS1","grey"
"5864","KLF3","grey"
"5865","105374412","magenta"
"5866","TLR10","magenta"
"5867","TLR1","black"
"5868","TLR6","black"
"5869","FAM114A1","blue"
"5870","TMEM156","magenta"
"5871","KLHL5","grey"
"5872","LOC105374418","blue"
"5873","WDR19","blue"
"5874","RFC1","grey"
"5875","KLB","yellow"
"5876","RPL9","green"
"5877","LIAS","brown"
"5878","WDR5CP","turquoise"
"5879","UGDH","blue"
"5880","UGDH-AS1","grey"
"5881","SMIM14","greenyellow"
"5882","UBE2K","turquoise"
"5883","PDS5A","turquoise"
"5884","LOC344967","brown"
"5885","N4BP2","blue"
"5886","RHOH","greenyellow"
"5887","CHRNA9","turquoise"
"5888","RBM47","grey"
"5889","NSUN7","grey"
"5890","APBB2","blue"
"5891","107986273","blue"
"5892","UCHL1","greenyellow"
"5893","LIMCH1","yellow"
"5894","LOC105374423","blue"
"5895","LOC105374421","blue"
"5896","PHOX2B","turquoise"
"5897","PHOX2B-AS1","turquoise"
"5898","TMEM33","grey"
"5899","DCAF4L1","turquoise"
"5900","SLC30A9","grey"
"5901","BEND4","grey"
"5902","SHISA3","yellow"
"5903","ATP8A1","blue"
"5904","GRXCR1","turquoise"
"5905","KCTD8","turquoise"
"5906","LOC107986275","blue"
"5907","YIPF7","salmon"
"5908","GUF1","brown"
"5909","GNPDA2","brown"
"5910","GABRG1","turquoise"
"5911","GABRA2","yellow"
"5912","COX7B2","blue"
"5913","GABRA4","turquoise"
"5914","GABRB1","turquoise"
"5915","COMMD8","brown"
"5916","ATP10D","yellow"
"5917","CORIN","turquoise"
"5918","LOC101927179","blue"
"5919","NFXL1","blue"
"5920","CNGA1","brown"
"5921","NIPAL1","black"
"5922","TXK","magenta"
"5923","TEC","blue"
"5924","LOC105374445","green"
"5925","SLAIN2","green"
"5926","SLC10A4","blue"
"5927","ZAR1","blue"
"5928","FRYL","brown"
"5929","OCIAD1","grey"
"5930","OCIAD1-AS1","blue"
"5931","OCIAD2","blue"
"5932","CWH43","turquoise"
"5933","DCUN1D4","brown"
"5934","LRRC66","turquoise"
"5935","SGCB","yellow"
"5936","SPATA18","yellow"
"5937","USP46","blue"
"5938","USP46-DT","brown"
"5939","DANCR","yellow"
"5940","SNORA26","blue"
"5941","ERVMER34-1","purple"
"5942","RASL11B","blue"
"5943","SCFD2","turquoise"
"5944","LOC101928658","blue"
"5945","FIP1L1","turquoise"
"5946","LNX1","grey"
"5947","COMMD5P1","grey"
"5948","RPL21P44","blue"
"5949","CHIC2","turquoise"
"5950","GSX2","pink"
"5951","PDGFRA","yellow"
"5952","KIT","brown"
"5953","KDR","yellow"
"5954","SRD5A3","turquoise"
"5955","LINC02928","blue"
"5956","TMEM165","yellow"
"5957","CLOCK","blue"
"5958","PDCL2","turquoise"
"5959","NMU","blue"
"5960","EXOC1L","salmon"
"5961","EXOC1","blue"
"5962","LOC105377663","blue"
"5963","CEP135","blue"
"5964","CRACD","yellow"
"5965","AASDH","blue"
"5966","PPAT","blue"
"5967","100506514","blue"
"5968","PAICS","yellow"
"5969","SRP72","turquoise"
"5970","ARL9","greenyellow"
"5971","SPMAP2L","turquoise"
"5972","HOPX","grey"
"5973","SPINK2","turquoise"
"5974","REST","turquoise"
"5975","NOA1","brown"
"5976","POLR2B","turquoise"
"5977","IGFBP7","purple"
"5978","IGFBP7-AS1","purple"
"5979","ADGRL3","red"
"5980","TECRL","turquoise"
"5981","EPHA5","turquoise"
"5982","MIR1269A","green"
"5983","CENPC","blue"
"5984","STAP1","magenta"
"5985","UBA6","blue"
"5986","UBA6-DT","grey"
"5987","GNRHR","blue"
"5988","LOC102724780","blue"
"5989","TMPRSS11D","blue"
"5990","TMPRSS11A","green"
"5991","TMPRSS11F","salmon"
"5992","LOC550113","turquoise"
"5993","SYT14P1","turquoise"
"5994","TMPRSS11BNL","turquoise"
"5995","TMPRSS11B","turquoise"
"5996","YTHDC1","blue"
"5997","TMPRSS11E","green"
"5998","UGT2B17","turquoise"
"5999","UGT2B15","turquoise"
"6000","UGT2B10","grey"
"6001","UGT2A3","turquoise"
"6002","UGT2B7","grey"
"6003","LOC105377267","grey"
"6004","UGT2B11","grey"
"6005","UGT2B28","grey"
"6006","UGT2B4","turquoise"
"6007","UGT2A1","turquoise"
"6008","UGT2A2","turquoise"
"6009","SULT1B1","blue"
"6010","SULT1E1","green"
"6011","CSN1S1","yellow"
"6012","CSN2","yellow"
"6013","STATH","salmon"
"6014","HTN3","salmon"
"6015","HTN1","turquoise"
"6016","CSN1S2AP","turquoise"
"6017","CSN1S2BP","turquoise"
"6018","PRR27","blue"
"6019","ODAM","turquoise"
"6020","FDCSP","black"
"6021","CSN3","turquoise"
"6022","CABS1","turquoise"
"6023","SMR3A","turquoise"
"6024","SMR3B","turquoise"
"6025","OPRPN","turquoise"
"6026","MUC7","turquoise"
"6027","AMTN","turquoise"
"6028","AMBN","turquoise"
"6029","ENAM","grey"
"6030","JCHAIN","tan"
"6031","UTP3","grey"
"6032","RUFY3","blue"
"6033","GRSF1","turquoise"
"6034","MOB1B","brown"
"6035","DCK","brown"
"6036","SLC4A4","yellow"
"6037","GC","turquoise"
"6038","NPFFR2","turquoise"
"6039","ADAMTS3","brown"
"6040","COX18","blue"
"6041","ANKRD17","turquoise"
"6042","ANKRD17-DT","cyan"
"6043","ALB","turquoise"
"6044","AFP","turquoise"
"6045","AFM","turquoise"
"6046","RASSF6","grey"
"6047","CXCL8","blue"
"6048","CXCL6","blue"
"6049","PF4V1","pink"
"6050","CXCL1","blue"
"6051","PF4","turquoise"
"6052","PPBP","turquoise"
"6053","CXCL5","turquoise"
"6054","CXCL3","brown"
"6055","CXCL2","red"
"6056","MTHFD2L","blue"
"6057","EPGN","blue"
"6058","EREG","turquoise"
"6059","AREG","greenyellow"
"6060","BTC","turquoise"
"6061","PARM1","red"
"6062","RCHY1","brown"
"6063","THAP6","blue"
"6064","ODAPH","green"
"6065","CDKL2","turquoise"
"6066","G3BP2","brown"
"6067","USO1","turquoise"
"6068","PPEF2","turquoise"
"6069","NAAA","grey"
"6070","SDAD1","blue"
"6071","CXCL9","magenta"
"6072","ART3","greenyellow"
"6073","CXCL10","magenta"
"6074","CXCL11","magenta"
"6075","NUP54","blue"
"6076","SCARB2","blue"
"6077","FAM47E","brown"
"6078","LOC105377286","yellow"
"6079","FAM47E-STBD1","yellow"
"6080","STBD1","yellow"
"6081","CCDC158","turquoise"
"6082","SHROOM3","grey"
"6083","LOC105377290","blue"
"6084","SHROOM3-AS1","blue"
"6085","SOWAHB","grey"
"6086","LOC105377294","turquoise"
"6087","SEPTIN11","grey"
"6088","LOC105377291","blue"
"6089","107986290","blue"
"6090","CCNI","green"
"6091","LOC101928864","blue"
"6092","CCNG2","turquoise"
"6093","LOC107986292","blue"
"6094","CXCL13","magenta"
"6095","CNOT6L","brown"
"6096","MRPL1","blue"
"6097","LOC102724916","blue"
"6098","FRAS1","lightcyan"
"6099","LOC107986293","blue"
"6100","ANXA3","brown"
"6101","LINC01094","grey"
"6102","BMP2K","turquoise"
"6103","PAQR3","brown"
"6104","NAA11","turquoise"
"6105","GK2","turquoise"
"6106","LOC107986294","red"
"6107","ANTXR2","red"
"6108","PRDM8","grey"
"6109","FGF5","turquoise"
"6110","CFAP299","turquoise"
"6111","BMP3","brown"
"6112","PRKG2","turquoise"
"6113","RASGEF1B","black"
"6114","HNRNPD","turquoise"
"6115","HNRNPD-DT","turquoise"
"6116","HNRNPDL","green"
"6117","ENOPH1","turquoise"
"6118","TMEM150C","yellow"
"6119","SCD5","turquoise"
"6120","MIR575","grey"
"6121","SEC31A","green"
"6122","THAP9-AS1","blue"
"6123","SNORD143","blue"
"6124","THAP9","blue"
"6125","LIN54","brown"
"6126","COPS4","brown"
"6127","PLAC8","magenta"
"6128","COQ2","blue"
"6129","HPSE","black"
"6130","HELQ","blue"
"6131","MRPS18C","brown"
"6132","ABRAXAS1","brown"
"6133","GPAT3","brown"
"6134","NKX6-1","turquoise"
"6135","LOC102723338","grey"
"6136","CDS1","yellow"
"6137","WDFY3","turquoise"
"6138","WDFY3-AS2","yellow"
"6139","ARHGAP24","red"
"6140","MAPK10","red"
"6141","PTPN13","brown"
"6142","107986189","blue"
"6143","SLC10A6","red"
"6144","C4orf36","turquoise"
"6145","AFF1-AS1","turquoise"
"6146","AFF1","greenyellow"
"6147","LOC105377320","blue"
"6148","KLHL8","brown"
"6149","HSD17B13","yellow"
"6150","HSD17B11","red"
"6151","NUDT9","turquoise"
"6152","SCPPPQ1","grey"
"6153","SPARCL1","purple"
"6154","DSPP","blue"
"6155","DMP1","purple"
"6156","IBSP","blue"
"6157","MEPE","turquoise"
"6158","SPP1","blue"
"6159","PKD2","yellow"
"6160","ABCG2","yellow"
"6161","PPM1K","grey60"
"6162","HERC6","grey60"
"6163","LOC102723458","grey60"
"6164","HERC5","grey60"
"6165","PIGY","brown"
"6166","PYURF","brown"
"6167","HERC3","red"
"6168","NAP1L5","yellow"
"6169","FAM13A-AS1","turquoise"
"6170","FAM13A","red"
"6171","TIGD2","black"
"6172","GPRIN3","turquoise"
"6173","SNCA","yellow"
"6174","MMRN1","red"
"6175","CCSER1","blue"
"6176","GRID2","turquoise"
"6177","ATOH1","turquoise"
"6178","SMARCAD1","blue"
"6179","HPGDS","turquoise"
"6180","PDLIM5","blue"
"6181","BMPR1B","black"
"6182","UNC5C","turquoise"
"6183","PDHA2","turquoise"
"6184","STPG2","turquoise"
"6185","RAP1GDS1","grey"
"6186","TSPAN5","turquoise"
"6187","EIF4E","brown"
"6188","METAP1","brown"
"6189","ADH5","blue"
"6190","LOC100507053","grey"
"6191","ADH4","green"
"6192","ADH6","green"
"6193","ADH1A","yellow"
"6194","ADH1B","yellow"
"6195","ADH1C","yellow"
"6196","ADH7","salmon"
"6197","C4orf17","turquoise"
"6198","TRMT10A","green"
"6199","MTTP","turquoise"
"6200","C4orf54","turquoise"
"6201","DAPP1","black"
"6202","LAMTOR3","brown"
"6203","DNAJB14","brown"
"6204","H2AZ1","yellow"
"6205","DDIT4L","yellow"
"6206","EMCN","yellow"
"6207","PPP3CA","brown"
"6208","MIR1255A","blue"
"6209","FLJ20021","turquoise"
"6210","BANK1","magenta"
"6211","SLC39A8","brown"
"6212","NFKB1","purple"
"6213","LOC105377347","blue"
"6214","MANBA","blue"
"6215","LOC102723704","green"
"6216","UBE2D3","green"
"6217","UBE2D3-AS1","grey"
"6218","CISD2","turquoise"
"6219","SLC9B1","green"
"6220","SLC9B2","brown"
"6221","BDH2","turquoise"
"6222","CENPE","blue"
"6223","TACR3","turquoise"
"6224","CXXC4","grey"
"6225","CXXC4-AS1","grey"
"6226","TET2","turquoise"
"6227","TET2-AS1","blue"
"6228","PPA2","brown"
"6229","ARHGEF38","greenyellow"
"6230","INTS12","black"
"6231","GSTCD","greenyellow"
"6232","LOC107986190","blue"
"6233","NPNT","black"
"6234","LOC101929577","turquoise"
"6235","TBCK","blue"
"6236","AIMP1","blue"
"6237","GIMD1","turquoise"
"6238","DKK2","yellow"
"6239","PAPSS1","blue"
"6240","SGMS2","yellow"
"6241","CYP2U1-AS1","grey"
"6242","LOC107986298","turquoise"
"6243","CYP2U1","yellow"
"6244","HADH","blue"
"6245","LEF1","grey"
"6246","LEF1-AS1","grey"
"6247","RPL34-DT","turquoise"
"6248","RPL34","green"
"6249","OSTC","yellow"
"6250","105377359","blue"
"6251","ETNPPL","turquoise"
"6252","COL25A1","yellow"
"6253","SEC24B-AS1","blue"
"6254","SEC24B","turquoise"
"6255","MCUB","grey"
"6256","107986302","blue"
"6257","CASP6","turquoise"
"6258","PLA2G12A","grey"
"6259","CFI","yellow"
"6260","GAR1","turquoise"
"6261","RRH","blue"
"6262","LRIT3","blue"
"6263","EGF","turquoise"
"6264","ELOVL6","grey"
"6265","107986303","grey"
"6266","ENPEP","yellow"
"6267","PITX2","turquoise"
"6268","FAM241A","blue"
"6269","AP1AR","grey"
"6270","TIFA","grey"
"6271","ALPK1","blue"
"6272","107986304","blue"
"6273","NEUROG2","blue"
"6274","ZGRF1","blue"
"6275","LARP7","blue"
"6276","MIR302CHG","blue"
"6277","MIR302A","blue"
"6278","ANK2","red"
"6279","CAMK2D","brown"
"6280","ARSJ","blue"
"6281","UGT8","greenyellow"
"6282","NDST4","blue"
"6283","TRAM1L1","turquoise"
"6284","NDST3","blue"
"6285","LOC107986307","green"
"6286","SNHG8","grey"
"6287","SNORA24","blue"
"6288","PRSS12","brown"
"6289","CEP170P1","green"
"6290","LOC729218","blue"
"6291","METTL14","brown"
"6292","SEC24D","turquoise"
"6293","SYNPO2","yellow"
"6294","MYOZ2","green"
"6295","LOC101929762","green"
"6296","USP53","grey"
"6297","C4orf3","blue"
"6298","FABP2","green"
"6299","LOC107986193","blue"
"6300","LINC01061","brown"
"6301","107983979","blue"
"6302","GTF2IP12","blue"
"6303","SEPTIN7P14","turquoise"
"6304","PDE5A","red"
"6305","MAD2L1","blue"
"6306","PRDM5","yellow"
"6307","NDNF","yellow"
"6308","TNIP3","blue"
"6309","QRFPR","turquoise"
"6310","ANXA5","blue"
"6311","SMIM43","turquoise"
"6312","PP12613","turquoise"
"6313","EXOSC9","blue"
"6314","CCNA2","blue"
"6315","BBS7","green"
"6316","TRPC3","turquoise"
"6317","LOC112268469","brown"
"6318","BLTP1","turquoise"
"6319","ADAD1","turquoise"
"6320","IL2","green"
"6321","IL21","magenta"
"6322","BBS12","brown"
"6323","FGF2","yellow"
"6324","NUDT6","yellow"
"6325","AFG2A","blue"
"6326","SPRY1","red"
"6327","ANKRD50","turquoise"
"6328","FAT4","yellow"
"6329","INTU","blue"
"6330","SLC25A31","turquoise"
"6331","HSPA4L","turquoise"
"6332","PLK4","blue"
"6333","MFSD8","blue"
"6334","ABHD18","blue"
"6335","LARP1B","blue"
"6336","PGRMC2","blue"
"6337","LINC02615","blue"
"6338","JADE1","yellow"
"6339","SCLT1","blue"
"6340","C4orf33","brown"
"6341","PCDH10","grey"
"6342","PABPC4L","turquoise"
"6343","PCDH18","yellow"
"6344","SLC7A11","blue"
