"","Gene","Module"
"234","TNFRSF1B","yellow"
"235","VPS13D","turquoise"
"236","SNORA59A","blue"
"237","LINC02766","turquoise"
"238","DHRS3","blue"
"239","AADACL4","turquoise"
"240","AADACL3","turquoise"
"241","CFAP107","turquoise"
"242","PRAMEF12","turquoise"
"243","PRAMEF1","turquoise"
"244","PRAMEF11","turquoise"
"245","HNRNPCL1","turquoise"
"246","PRAMEF2","turquoise"
"247","PRAMEF4","turquoise"
"248","PRAMEF10","turquoise"
"249","PRAMEF7","turquoise"
"250","PRAMEF6","turquoise"
"251","PRAMEF27","turquoise"
"252","HNRNPCL3","turquoise"
"253","PRAMEF25","turquoise"
"254","PRAMEF34P","turquoise"
"255","HNRNPCL2","turquoise"
"256","PRAMEF36P","turquoise"
"257","PRAMEF26","turquoise"
"258","HNRNPCL4","turquoise"
"259","PRAMEF9","turquoise"
"260","PRAMEF13","turquoise"
"261","PRAMEF18","turquoise"
"262","PRAMEF5","turquoise"
"263","PRAMEF8","turquoise"
"264","PRAMEF33","turquoise"
"265","PRAMEF15","turquoise"
"266","PRAMEF14","turquoise"
"267","PRAMEF19","turquoise"
"268","PRAMEF17","turquoise"
"269","PRAMEF20","turquoise"
"270","LRRC38","turquoise"
"271","PDPN","yellow"
"272","PRDM2","turquoise"
"273","KAZN","blue"
"274","LOC107985467","blue"
"275","LOC105376759","black"
"276","TMEM51-AS1","turquoise"
"277","TMEM51","grey"
"278","TMEM51-AS2","blue"
"279","FHAD1","brown"
"280","FHAD1-AS1","brown"
"281","EFHD2-AS1","turquoise"
"282","EFHD2","brown"
"283","CTRC","turquoise"
"284","CELA2A","turquoise"
"285","LOC105376767","turquoise"
"286","CELA2B","turquoise"
"287","CASP9","turquoise"
"288","DNAJC16","blue"
"289","AGMAT","purple"
"290","DDI2","turquoise"
"291","RSC1A1","turquoise"
"292","PLEKHM2","brown"
"293","SLC25A34","pink"
"294","TMEM82","turquoise"
"295","FBLIM1","turquoise"
"296","UQCRHL","blue"
"297","SPEN-AS1","brown"
"298","SPEN","turquoise"
"299","ZBTB17","brown"
"300","SRARP","black"
"301","HSPB7","yellow"
"302","CLCNKA","turquoise"
"303","CLCNKB","turquoise"
"304","FAM131C","grey"
"305","EPHA2","yellow"
"306","EPHA2-AS1","turquoise"
"307","ARHGEF19","brown"
"308","ANO7L1","turquoise"
"309","CPLANE2","black"
"310","FBXO42","turquoise"
"311","SZRD1","blue"
"312","SPATA21","blue"
"313","NECAP2","blue"
"314","LINC01772","blue"
"315","CROCCP3","blue"
"316","NBPF1","blue"
"317","105376794","brown"
"318","CROCCP2","brown"
"319","MST1P2","brown"
"320","LOC107985736","turquoise"
"321","ESPNP","turquoise"
